latitude,longitude,link_length_km,pedal_cycles,two_wheeled_motor_vehicles,cars_and_taxis,buses_and_coaches,lgvs,all_hgvs,all_motor_vehicles,road_name
51.9459099,-0.21186492,4.2,0.0,211.5,34685.0,78.0,6508.5,2413.0,43896.5,A1(M)
51.98164778,-0.19682669,5.3,0.0,117.5,19698.0,22.0,3740.0,1893.5,25471.0,A1(M)
52.01086521,-0.2035063,0.4,0.0,81.0,13547.0,15.0,2565.5,1301.0,17509.5,A1(M)
52.01415064,-0.20550227,0.4,0.0,81.0,13547.0,15.0,2565.5,1301.0,17509.5,A1(M)
51.49605897,-0.08257754,0.4,674.0,815.0,7937.5,410.5,3070.5,308.5,12542.0,A100
51.49724768,-0.08048185,0.2,771.5,796.5,8632.0,417.5,2894.5,278.5,13019.0,A100
51.49780914,-0.07962264,0.4,1312.0,715.5,7327.0,528.5,2405.0,572.0,11548.5,A100
51.50173721,-0.07787257,0.1,1474.5,943.0,7969.5,389.5,2725.0,546.5,12573.0,A100
51.50405242,-0.07647831,0.4,2226.5,1033.0,9306.0,442.5,3710.0,386.5,14877.0,A100
51.50761389,-0.07431087,0.5,2226.5,1033.0,9306.0,442.5,3710.0,386.5,14877.0,A100
51.51275767,0.01036088,1.3,117.5,73.0,3233.5,374.0,669.5,283.5,4633.0,A1011
51.52555807,0.00488428,2.3,61.0,76.5,6166.5,323.0,1367.0,333.5,8266.5,A1011
51.50270188,-0.04915837,1.0,71.0,601.5,11474.0,9.5,2993.0,231.0,15309.0,A101
51.50808644,-0.04849605,1.1,71.0,601.5,11474.0,9.5,2993.0,231.0,15309.0,A101
51.50417709,0.01934934,2.0,43.0,209.5,11581.0,148.0,1521.0,1008.5,14468.0,A1020
51.50658187,0.03991824,0.5,62.0,131.5,7823.5,172.5,1431.0,586.0,10145.0,A1020
51.50923712,0.01114261,1.1,150.5,191.5,7815.0,91.0,1672.5,964.5,10735.5,A1020
51.51027297,0.00210907,0.5,150.5,191.5,7815.0,91.0,1672.5,964.5,10735.5,A1020
51.47374361,0.02520496,0.3,1.0,1472.5,34444.5,342.5,10063.5,2057.0,48380.0,A102
51.47905624,0.02219995,1.4,0.0,1067.0,29277.5,250.0,8343.5,1839.0,40776.5,A102
51.48869118,0.01362339,1.2,0.5,1151.5,25898.5,179.0,6876.0,1701.0,35806.5,A102
51.49551339,0.00383934,1.4,4.0,1465.0,36721.5,336.5,10506.0,2342.0,51371.5,A102
51.50963551,-0.00692586,1.0,4.0,1465.0,36721.5,336.5,10506.0,2342.0,51371.5,A102
51.54892355,-0.03996994,1.6,222.5,158.0,7800.5,357.0,1814.5,285.0,10414.5,A102
51.55651281,-0.11177287,0.7,1153.5,310.0,4949.5,75.5,1354.5,271.5,6960.5,A103
51.55952472,-0.11453346,0.3,634.0,290.5,5838.0,90.5,1231.0,105.5,7555.0,A103
51.53947529,-0.09805776,0.8,1276.0,437.5,4069.0,949.5,1271.0,140.5,6867.0,A104
51.54340214,-0.0906832,0.9,1602.0,423.5,3295.5,781.0,857.5,173.0,5530.5,A104
51.54613218,-0.07614637,0.1,672.0,356.5,4543.0,485.0,1444.5,210.5,7040.5,A104
51.5462646,-0.07325627,0.4,574.0,178.0,5775.5,866.5,1026.5,368.5,8216.0,A104
51.54660959,-0.08333758,0.7,672.0,356.5,4543.0,485.0,1444.5,210.5,7040.5,A104
51.54709688,-0.0691827,0.9,917.5,537.5,6155.5,506.0,1245.0,291.0,8734.0,A104
51.55231021,-0.05814355,0.8,451.5,260.5,4125.5,243.0,900.5,271.0,5800.5,A104
51.55676751,-0.05578981,0.3,770.5,452.0,8198.0,1481.5,1631.0,372.0,12134.5,A104
51.55871579,-0.05397553,0.8,541.5,338.5,7915.0,393.5,2275.5,264.5,11186.5,A104
55.00153595,-1.53520427,3.2,0.0,149.5,17836.5,34.0,2204.5,227.5,20452.5,A1058
55.01158945,-1.48551902,2.0,94.0,79.0,17089.0,114.0,2314.0,205.5,19802.0,A1058
55.02012128,-1.46351345,1.5,101.0,53.0,8299.0,24.5,1135.0,117.0,9628.5,A1058
55.02477088,-1.43842401,1.2,11.0,53.0,6751.5,26.5,738.5,56.0,7625.5,A1058
51.54816055,-0.08745512,0.7,525.5,154.0,2552.0,434.0,664.0,80.0,3883.0,A105
51.56311516,-0.09187746,2.3,453.0,198.0,5742.0,293.5,1082.0,190.0,7505.0,A105
51.53625028,-0.05493393,0.9,483.0,542.0,8648.0,367.0,1762.0,561.0,11880.0,A106
51.53978465,-0.04036263,1.1,141.0,274.0,8631.0,177.0,1448.0,302.0,10831.0,A106
51.54002449,-0.054773,1.5,166.5,71.5,4712.5,368.0,1155.0,311.5,6619.0,A106
51.54484885,-0.03238589,0.2,328.5,559.0,15726.5,451.0,4347.0,649.5,21732.5,A106
51.54490167,-0.03071063,0.1,328.5,559.0,15726.5,451.0,4347.0,649.5,21732.5,A106
51.54517887,-0.03544361,0.2,193.5,660.5,18017.5,437.0,5375.0,613.5,25103.0,A106
51.54756993,-0.02841753,1.0,294.0,185.0,3938.0,236.5,744.0,163.5,5267.0,A106
