TunnelName,WikiLink,TunnelType,Length[m],OpeningDate,Latitude,Longitude
Ampthill Tunnel,/wiki/Ampthill_Tunnel,Railway,654.0,1859,52.03361111111111,-0.5133333333333333
Linslade Tunnel,/wiki/Linslade_Tunnel,Railway,249.0,"1837, 1859, 1876",51.92527777777777,-0.6763888888888888
Old Warden Tunnel,/wiki/Old_Warden_Tunnel,Railway,807.0,1853,52.08833333333334,-0.3758333333333333
Wymington Tunnel,No link,Railway,1690.0,1859,,
Clifton Down Tunnel,/wiki/Clifton_Down_Tunnel,Railway,1601.0,1874,51.46944444444445,-2.618888888888889
Brill Tunnel,No link,Railway,175.0,1910,,
Saunderton Tunnel,No link,Railway,76.0,1901,,
Whitehouse Tunnel,No link,Railway,322.0,1905,,
Wansford Tunnel,/wiki/Wansford_Tunnel,Railway,563.0,1847,52.56545,-0.3999972222222222
Disley Tunnel,/wiki/Disley_Tunnel,Railway,3535.0,1901,53.37166666666667,-2.0858333333333334
Preston Brook Tunnel,No link,Canal,1133.0,1775,,
Prestbury Tunnel,/wiki/Manchester_and_Birmingham_Railway#Prestbury_Tunnel,Railway,250.0,1845,53.29555555555555,-2.1444444444444444
Sutton Tunnel,/wiki/Birkenhead_Railway#Sutton_Tunnel,Railway,1724.0,1848,,
Saltash Tunnel,/wiki/Saltash_Tunnel,Road,410.0,1988,50.41166666666666,-4.215
Brownqueen Tunnel,/wiki/Brownqueen_Tunnel,Railway,80.0,1859,50.434999999999995,-4.680833333333334
Toldish Tunnel,/wiki/Toldish_Tunnel,Railway (for horse-drawn trams),460.0,1849,50.403888888888886,-4.9222222222222225
Trelill Tunnel,/wiki/Trelill_Tunnel,Railway,304.0,1895,50.57,-4.7625
Shillingham Tunnel,No link,Railway,412.0,1908,,
Treverrin Tunnel,No link,Railway,516.0,1859,,
Polperrow Tunnel,No link,Railway,348.0,1859,,
Buckshead Tunnel,No link,Railway,290.0,1859,,
Sparnick Tunnel,No link,Railway,449.0,1863,,
Pinnock Tunnel,No link,"Railway, now converted to private road",1073.0,1874,,
Whitehaven Tunnel,No link,Railway,1219.0,1852,,
Alfreton Tunnel,No link,Railway,770.0,1862,,
Ashbourne Tunnel,No link,Railway(now a cycleway),350.0,1899,,
Ashwood Dale Tunnel,No link,Railway,91.0,1863,,
Barmoor Clough Tunnel,No link,Railway,101.0,1863,,
Bolsover Tunnel,/wiki/Bolsover_Tunnel,Railway,2399.0,1897,53.21658333333334,-1.2726555555555554
Bradway Tunnel,/wiki/Bradway_Tunnel,Railway,1853.0,1870,53.315555555555555,-1.4941666666666666
Breadsall Tunnel (also Morley),No link,Railway,218.0,1878,,
Burbage Tunnel,No link,Railway,530.0,1830,,
Butterley Tunnel,/wiki/Butterley_Tunnel,Canal (disused),2712.0,1794,,
Chee Tor Tunnel (1),/wiki/Millers_Dale,Railway,390.0,1863,53.25388888888889,-1.7616666666666667
Chee Tor Tunnel (2),/wiki/Millers_Dale,Railway,86.0,1863,53.25388888888889,-1.7616666666666667
Clay Cross Tunnel,/wiki/Clay_Cross_Tunnel,Railway,1631.0,1839,53.16361111111111,-1.4152777777777776
Cowburn Tunnel,/wiki/Cowburn_Tunnel,Railway,3385.0,1892,53.35194444444445,-1.8666666666666667
Cressbrook Tunnel,/wiki/Cressbrook_Tunnel,Railway,431.0,1863,53.24472222222222,-1.7316666666666667
Dove Holes Tunnel,/wiki/Dove_Holes_Tunnel,Railway (freight),2729.0,1865,53.30777777777777,-1.896388888888889
Duckmanton Tunnel,/wiki/Duckmanton_Tunnel,Railway,458.0,1897,53.228944444444444,-1.3670277777777777
Duffield Tunnel,No link,Railway,48.0,1867,,
Eaves Tunnel,No link,Railway,394.0,1863,,
Great Rocks Tunnel,No link,Railway,147.0,1863,,
Gregory Tunnel,No link,Canal,69.0,1794,,
Haddon Tunnel,/wiki/Haddon_Tunnel,Railway,967.0,1863,53.19472222222222,-1.6491666666666667
